Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Orbit Uncertainity,Minimum Orbit Intersection,Orbital Period,Hazardous
3182169,23.6,0.0506471459,0.1132504611,3.8380167643,0,.0231683,412.8339519813857,False
2267221,19.8,0.2914439045,0.6516883822,14.6506071817,0,.00864628,386.8704956796536,True
2382875,21.7,0.1214940408,0.2716689341,7.5148753568,0,.072723,540.5901587784003,False
2396793,20.1,0.2538370294,0.5675968529,14.3828211868,0,.286119,402.9863441432185,False
2419472,19.9,0.2783267681,0.6223575734,16.5382492667,0,.00632801,495.2579002937377,True
3647009,27.4,0.0088014652,0.0196806745,7.3391408326,7,.00184403,450.2267560674101,False
3713321,23.9,0.04411182,0.0986370281,10.5995937061,5,.110326,610.4542330459966,False
3747315,26.9,0.0110803882,0.0247765013,22.8246286413,7,.00602602,282.0210086909677,False
3771614,21.424,0.1379605689,0.3084892103,20.3742223265,6,.0890355,501.8568085276265,False
2312942,17.3,0.9216265485,2.0608196123,22.9603499373,0,.0591071,1243.602787733987,False
3170221,26.5,0.0133215567,0.0297879063,7.5164621883,1,.00576149,359.0658068186285,False
3601408,18.8,0.4619074603,1.0328564805,21.5347344882,1,.264451,1233.214308376651,False
3772759,28.15,0.0062309602,0.0139328506,13.5922329378,4,4.42295E-5,383.6026380708879,False
3409964,20.8,0.1838886721,0.411187571,8.1878859535,2,.0497576,394.1587791697582,True
3562320,25.6,0.0201629919,0.0450858206,14.0912031607,7,.024568,292.993820551631,False
3747992,25.4,0.022108281,0.0494356193,11.1995010545,5,.0053862,296.0603493553376,False
3373683,19.4,0.3503926411,0.7835017643,9.3048655227,1,.0215286,399.2937581924141,True
3719206,21.0,0.1677084622,0.3750075218,26.0538805106,1,.175606,662.4171450359277,False
3394543,20.9,0.1756123185,0.3926810818,19.2686125665,0,.0337336,469.4686819583911,True
2489486,19.4,0.3503926411,0.7835017643,9.3048655241,1,.020437,399.2903411827814,True
2356991,18.9,0.4411182,0.9863702813,14.3425306846,0,.00433054,1114.737576501411,True
3648769,24.0,0.0421264611,0.0941976306,10.8435350851,3,.0666464,330.3444547300045,False
3773650,21.494,0.1335841639,0.2987032712,15.6786970401,5,.0739088,298.4777407624754,False
2088959,17.4,0.8801465209,1.9680674509,36.9027872256,0,.0508661,826.5127687372666,False
3277704,22.1,0.1010543415,0.2259643771,15.7970850712,0,.0549144,455.0492405086502,False
3459306,21.6,0.1272198785,0.2844722965,20.2894533769,0,.0812573,512.5882832519676,False
3562321,20.5,0.2111324448,0.4721064988,19.8548506193,1,.117551,309.9608358537071,False
3701883,21.0,0.1677084622,0.3750075218,24.7182552115,2,.00215466,776.7516457501827,True
3728898,22.2,0.096506147,0.2157943048,11.3966022742,1,.0499383,421.5812038217386,False
3484042,20.6,0.2016299194,0.4508582062,15.4554198905,7,.0947896,782.3624022975998,False
3330689,24.4,0.0350392641,0.0783501764,14.6851764215,0,.021176,500.4540394052879,False
3605319,18.8,0.4619074603,1.0328564805,19.5361708097,2,.0613713,1248.874609320113,False
3694462,25.8,0.0183888672,0.0411187571,4.8238986328,6,.00120536,583.1012834449405,False
3127399,24.3,0.0366906138,0.0820427065,11.5082485302,7,.0222117,512.7028130962499,False
3397922,19.6,0.3195618867,0.7145621017,18.3327339774,0,.0142281,472.395556943907,True
3672731,26.2,0.0152951935,0.0342010925,7.9263615697,6,.00634687,436.7713817183259,False
3463371,20.8,0.1838886721,0.411187571,19.6672789686,1,.113249,318.4950216186122,False
2484402,19.6,0.3195618867,0.7145621017,18.3327075668,0,.014981,472.4068220242749,True
3776112,20.616,0.2001497153,0.447548369,17.4813559273,5,.317486,400.0933971167236,False
2154244,17.5,0.8405334021,1.8794898244,16.1254927357,0,.0636542,1279.647443089683,False
3363380,22.0,0.1058168859,0.2366137501,13.4752350082,7,.0589302,450.5844479129489,False
3673983,23.0,0.0667659413,0.1492931834,4.3317191588,5,.0949569,630.1041683088879,False
3673919,21.5,0.1332155667,0.2978790628,16.9382989689,4,.0738937,1161.11530358446,False
2308242,16.5,1.332155667,2.978790628,13.1145420116,0,.0436453,238.7538758060025,True
2366746,20.2,0.2424124811,0.5420507863,11.0655789028,0,.0270542,414.0263438840223,True
3545558,27.1,0.0101054342,0.0225964377,12.5521761782,1,.00108035,276.5583358674995,False
3608823,27.2,0.0096506147,0.0215794305,12.5265347443,7,.00396247,327.4496187621624,False
3775092,21.571,0.1289302951,0.2882969041,12.8353276218,5,.119136,670.0460779441441,False
2090416,18.7,0.4836764882,1.0815335068,24.3634556187,0,.00197078,806.0180023830769,True
2216523,20.6,0.2016299194,0.4508582062,8.9531690586,0,.0355235,319.0893040944803,True
2309728,18.1,0.6376097899,1.4257388333,15.5946377133,0,.243876,962.0227781647918,False
2458418,19.5,0.3346223745,0.7482383761,31.6077353288,0,.00803028,922.4128707956813,True
3007951,18.7,0.4836764882,1.0815335068,32.1814057516,0,.22291,401.1636849031553,False
2495829,18.7,0.4836764882,1.0815335068,32.1814058882,0,.22291,401.1636850048279,False
3414393,20.1,0.2538370294,0.5675968529,18.5175254845,0,.14088,589.8473138359883,False
3440397,20.1,0.2538370294,0.5675968529,31.1285563305,1,.00799405,833.9171826189519,True
2470594,20.2,0.2424124811,0.5420507863,18.5175194475,0,.141147,589.8797847952184,False
3414402,19.7,0.3051792326,0.6824015094,26.347867125,1,.200346,953.2466221849488,False
2212359,16.7,1.214940408,2.7166893409,20.2917992454,0,.256265,1045.873933196462,False
2348314,17.9,0.6991252322,1.5632915441,15.3422196651,0,.0451383,473.8962656558362,True
3560054,23.7,0.0483676488,0.1081533507,9.8307494523,6,.0752783,325.1382290472969,False
3666783,20.3,0.2315021222,0.5176544822,15.4140722175,2,.0449381,238.2636732212871,True
2307070,20.7,0.1925550782,0.4305662442,14.6993080325,0,.143015,547.6746555831121,False
2314082,17.5,0.8405334021,1.8794898244,21.255850666,0,.0197173,1222.472485465145,True
3008362,20.3,0.2315021222,0.5176544822,19.8486346,0,.122189,584.1327857113762,False
3182823,24.1,0.040230458,0.0899580388,9.509879717,6,.00335624,276.259428572244,False
3390647,22.0,0.1058168859,0.2366137501,16.0610662796,1,.013789,315.0609541635102,True
3746629,27.8,0.0073207399,0.016369672,20.4844542549,6,.00229906,534.0492685781778,False
3662252,25.8,0.0183888672,0.0411187571,19.5349282417,6,.0041285,527.1805462948607,False
2365449,20.5,0.2111324448,0.4721064988,13.2016603762,1,.154706,348.0691375405533,False
3410474,21.0,0.1677084622,0.3750075218,24.3675548124,2,.164167,377.4031965581878,False
3426239,20.5,0.2111324448,0.4721064988,14.2479431871,2,.0640277,296.0111168140606,False
3623682,26.5,0.0133215567,0.0297879063,15.4970037958,7,.0200872,361.342061746365,False
3724948,19.2,0.3841978911,0.8590926012,19.8851596295,2,.180276,917.4874872415662,False
2099799,18.3,0.5815070396,1.30028927,3.6316313291,0,.120423,645.4180588904653,False
2267759,18.8,0.4619074603,1.0328564805,10.6702066978,0,.236062,588.0639207296055,False
3645649,24.7,0.0305179233,0.0682401509,19.6482727113,3,.0285671,388.8479513605899,False
3761271,24.4,0.0350392641,0.0783501764,15.8283192329,6,.00908397,263.5703437193372,False
3150188,21.2,0.1529519353,0.3420109247,12.8466218044,1,.138005,492.667843429631,False
3508168,19.3,0.3669061375,0.8204270649,20.9869210498,1,.0261387,510.4311345016312,True
3682429,18.2,0.6089126221,1.3615700154,13.640816033,4,.183099,1764.550425924801,False
3691712,25.0,0.02658,0.0594346868,1.4444125634,4,.0448509,460.9646442514971,False
2477519,19.3,0.3669061375,0.8204270649,20.9868479851,0,.0287566,510.380538919628,True
3766334,23.0,0.0667659413,0.1492931834,12.1994444643,6,.0896811,639.4938330035889,False
3625128,19.9,0.2783267681,0.6223575734,21.8235957809,2,.0703769,889.4630303796989,False
2347634,19.5,0.3346223745,0.7482383761,15.5196895769,0,.229332,434.241427872221,False
3666733,24.8,0.0291443905,0.0651688382,5.7721969184,5,.0378689,536.8415167885923,False
3771633,26.692,0.0121942467,0.0272671645,5.985693748,3,.00138825,369.1749337279458,False
3160737,21.2,0.1529519353,0.3420109247,33.0137345686,0,.0443814,1474.303193711644,True
3684352,20.8,0.1838886721,0.411187571,12.2330316667,5,.214825,865.8159059544905,False
3781651,25.187,0.024386809,0.0545305626,20.0603526459,6,.0240122,287.7854980609809,False
2162694,19.6,0.3195618867,0.7145621017,24.4364336236,0,.22486,296.5429554833809,False
3429684,25.4,0.022108281,0.0494356193,8.178060535,6,.00361704,339.7526410992528,False
3581238,20.4,0.2210828104,0.4943561926,13.9990858768,1,.0511177,308.6746169245088,False
3601472,19.1,0.4023045798,0.8995803882,15.4776155215,1,.00672532,1172.623653188909,True
3666677,22.8,0.0732073989,0.1636967205,10.3538812075,6,.0224851,471.4081184471361,False
3730802,24.5,0.0334622374,0.0748238376,7.0350792638,6,.025176,304.3791331885978,False
3092146,24.4,0.0350392641,0.0783501764,4.5430541949,8,.0247658,641.1295905154959,False
3471585,26.6,0.0127219879,0.0284472297,23.6998713743,7,.0242782,241.9354715022976,False
3610358,18.9,0.4411182,0.9863702813,34.718736792,0,.0797107,892.9794953469265,False
3666785,22.3,0.0921626549,0.2060819612,12.9802265886,3,.0259126,460.1894557939667,False
2355046,19.5,0.3346223745,0.7482383761,7.5419072602,0,.107051,505.7646520643147,False
2444193,18.2,0.6089126221,1.3615700154,18.153807376,0,.00221412,403.8733332440123,True
3072196,24.5,0.0334622374,0.0748238376,11.2868147134,6,.025664,359.3413129382192,False
3514891,22.1,0.1010543415,0.2259643771,23.7222056845,1,.095436,302.6094840051001,False
3765702,25.3,0.0231502122,0.0517654482,11.6461113709,6,.0618104,318.7788104118349,False
2003362,18.3,0.5815070396,1.30028927,11.6471067312,1,.013395,359.5337847595645,True
3358223,22.7,0.0766575574,0.1714115092,10.3532420903,6,.0758499,307.9393202707371,False
3634389,19.9,0.2783267681,0.6223575734,23.3841231755,1,.076602,657.6279043782687,False
2221980,19.0,0.4212646106,0.9419763057,12.1380316514,0,.0338689,567.4732566875158,True
3431599,20.0,0.2658,0.5943468684,21.5761473965,5,.111975,1194.633583898861,False
3736387,21.0,0.1677084622,0.3750075218,16.5015793479,2,.0679351,332.279222165562,False
2152978,19.6,0.3195618867,0.7145621017,13.121608316,0,.0247891,457.5494078476248,True
3373683,19.4,0.3503926411,0.7835017643,7.9524044024,1,.0215286,399.2937581924141,True
3565394,29.7,0.0030517923,0.0068240151,19.1262861676,7,.00110619,444.5084774896044,False
3749346,23.5,0.0530340723,0.1185877909,6.7724555122,3,.0565851,429.4155003990329,False
2489486,19.4,0.3503926411,0.7835017643,7.9524044759,1,.020437,399.2903411827814,True
3695735,21.6,0.1272198785,0.2844722965,8.9768962821,2,.318512,579.8632399463864,False
3092345,18.3,0.5815070396,1.30028927,19.3001496201,0,.0624827,2129.086675289391,False
3529600,23.4,0.0555334912,0.1241766613,11.1525255908,6,.0941106,508.4253390583161,False
3573154,20.2,0.2424124811,0.5420507863,7.7752843227,0,.119386,492.93637790342,False
3710226,26.0,0.0167708462,0.0375007522,8.4548375526,6,.00283925,568.5633069100641,False
3739251,19.1,0.4023045798,0.8995803882,4.5544349416,0,.316229,807.6309368412647,False
2033342,17.9,0.6991252322,1.5632915441,24.0740291824,0,.010566,222.4520906135928,True
2397847,18.8,0.4619074603,1.0328564805,16.1934694025,0,.143818,602.7751558017376,False
3455137,20.0,0.2658,0.5943468684,11.3141276378,2,.0331774,279.7977289150466,True
3102683,22.1,0.1010543415,0.2259643771,12.111926908,1,.0113586,368.882118331136,True
2207970,18.1,0.6376097899,1.4257388333,2.4294150614,0,.283318,1569.560467120893,False
2259221,19.2,0.3841978911,0.8590926012,25.5086958994,0,.13164,421.5434595804446,False
3400310,23.6,0.0506471459,0.1132504611,24.8779835635,1,.0316225,289.9129114501187,False
3439813,19.2,0.3841978911,0.8590926012,21.1588162707,0,.068965,602.6677577209846,False
3644343,17.9,0.6991252322,1.5632915441,33.9284382785,1,.217108,692.7424118313542,False
2476904,19.2,0.3841978911,0.8590926012,21.1587628409,0,.0683833,602.6053324743364,False
3769883,22.2,0.096506147,0.2157943048,19.4132648241,7,.16521,281.7461153230545,False
2496327,17.9,0.6991252322,1.5632915441,33.9284382992,1,.217108,692.7424118300337,False
2267223,18.1,0.6376097899,1.4257388333,24.3022599558,0,.106558,913.6562707105129,False
3670292,19.9,0.2783267681,0.6223575734,16.1366811697,2,.10218,539.0984070641229,False
3732504,22.5,0.0840533402,0.1879489824,7.4807117041,5,.00594609,431.5487211466778,False
3744790,21.3,0.1460679643,0.3266178974,23.5889568587,3,.0463696,220.4649165343847,True
2443103,18.0,0.6676594135,1.4929318344,11.5254495776,0,.0132207,384.5473791565931,True
3367904,23.4,0.0555334912,0.1241766613,10.4465992375,2,.00254036,288.8841352421323,False
3548666,27.6,0.0080270317,0.0179489885,6.6318196859,6,.00109712,389.1378168116618,False
3560922,20.0,0.2658,0.5943468684,12.9438284636,1,.196219,605.0752799247184,False
3723951,20.5,0.2111324448,0.4721064988,32.3499906347,4,.0484137,801.1092815969854,True
3741556,21.3,0.1460679643,0.3266178974,11.2691646834,5,.0427367,811.7435267883536,True
2424965,18.8,0.4619074603,1.0328564805,31.3915350379,1,.0513984,267.5057899499338,False
3008376,20.6,0.2016299194,0.4508582062,3.6966578525,1,.261067,1021.420119814094,False
3555410,20.7,0.1925550782,0.4305662442,20.0234849164,1,.176403,424.4687239539472,False
3699893,26.9,0.0110803882,0.0247765013,2.6838539737,4,.00731584,384.2254883138502,False
3174193,18.7,0.4836764882,1.0815335068,40.1655112308,0,.197366,956.8553512056678,False
3402642,25.7,0.0192555078,0.0430566244,9.0104881074,0,.0483196,485.4982355933009,False
3552578,23.5,0.0530340723,0.1185877909,6.368218127,4,.0252684,390.8806389216177,False
3742127,19.7,0.3051792326,0.6824015094,28.1269700102,5,.21133,1450.266196288393,False
2483563,18.8,0.4619074603,1.0328564805,40.1655003941,0,.197415,957.0846065208187,False
2162422,20.6,0.2016299194,0.4508582062,17.0307142526,0,.0118739,484.5624672744042,True
3147579,23.6,0.0506471459,0.1132504611,13.3716370265,6,.0430556,322.4636874439063,False
3297366,21.5,0.1332155667,0.2978790628,16.789704277,0,.124977,403.4481944568063,False
2481127,21.5,0.1332155667,0.2978790628,16.7897024471,1,.124955,403.3949352676462,False
3613391,24.8,0.0291443905,0.0651688382,8.9744514162,4,.0248379,442.2169576560004,False
2204131,19.9,0.2783267681,0.6223575734,23.4066305157,0,.0515574,448.346305795893,False
3514891,22.1,0.1010543415,0.2259643771,19.5313460413,1,.095436,302.6094840051001,False
3714553,20.4,0.2210828104,0.4943561926,11.666506366,1,.0379013,460.3797383359293,True
3716433,21.2,0.1529519353,0.3420109247,9.7723349524,2,.0558885,345.7861911459773,False
3728860,22.9,0.0699125232,0.1563291544,21.9660440228,5,.0352876,557.1818100568966,False
2041429,20.6,0.2016299194,0.4508582062,17.8223939758,0,.0108978,734.0538780616956,True
2277810,21.8,0.1160259082,0.2594418179,9.1088576814,1,.104736,365.9929240029879,False
2401954,18.8,0.4619074603,1.0328564805,11.7742479359,1,.0160302,274.3613582894533,True
3092296,24.3,0.0366906138,0.0820427065,11.1923435207,7,.00336216,368.9242921416832,False
3749034,25.0,0.02658,0.0594346868,6.2961191309,5,.0511377,332.401621359663,False
2280491,19.0,0.4212646106,0.9419763057,17.8058811314,0,.0559407,424.0790231426155,False
3714452,20.6,0.2016299194,0.4508582062,23.7677487531,3,.0281473,291.6798430372066,True
2318050,18.7,0.4836764882,1.0815335068,4.9529707885,0,.256947,973.6486041136129,False
3346460,21.4,0.1394938229,0.3119176705,14.4385209613,1,.0298549,463.0102186051064,True
3429818,23.3,0.058150704,0.130028927,8.7806970469,5,.018281,401.9251574669905,False
2136818,18.9,0.4411182,0.9863702813,14.8303269039,0,.113543,331.5974828563657,False
2390522,20.6,0.2016299194,0.4508582062,12.4277497463,0,.0594885,471.7363954686337,False
3120863,26.3,0.0146067964,0.0326617897,18.0081022198,7,.00155558,246.0752870602644,False
3741442,28.7,0.0048367649,0.0108153351,10.8973521068,6,.00486768,599.9376271624809,False
2433953,20.8,0.1838886721,0.411187571,11.9123056662,0,.000135863,407.795783743418,True
2461353,20.8,0.1838886721,0.411187571,16.1739957352,0,.0505078,370.8926018059071,False
3367126,20.0,0.2658,0.5943468684,13.8149566122,0,.12323,596.269885918351,False
3461189,18.3,0.5815070396,1.30028927,21.9450477723,0,.031732,1595.751020497633,True
3551168,28.2,0.0060891262,0.0136157002,1.6960367341,4,.00510293,378.0259352800659,False
3712623,20.1,0.2538370294,0.5675968529,28.3012691476,3,.111019,473.5005168139428,False
2489453,20.0,0.2658,0.5943468684,13.8149565504,0,.12367,596.2551506659993,False
3102762,24.1,0.040230458,0.0899580388,11.006040187,0,.012946,361.1807278371487,False
3768613,22.5,0.0840533402,0.1879489824,15.7693755741,5,.204261,307.2309019115326,False
2052381,20.0,0.2658,0.5943468684,6.5121485678,0,.168807,527.8860185963384,False
3283835,20.4,0.2210828104,0.4943561926,10.203131584,0,.0538301,251.2562062352404,False
3550466,25.6,0.0201629919,0.0450858206,4.8001764695,6,.00457185,424.1011496017098,False
3776033,21.51,0.1326034968,0.2965104328,13.8133903007,5,.225123,1280.858166029026,False
2469737,20.4,0.2210828104,0.4943561926,10.2031301159,0,.0539712,251.3000151466841,False
3610527,20.3,0.2315021222,0.5176544822,11.2868770521,2,.0378872,649.451054128627,True
3739152,20.8,0.1838886721,0.411187571,28.9560083916,6,.241892,701.1802846816112,False
3742058,20.6,0.2016299194,0.4508582062,8.6515906673,4,.0798524,529.4315843819513,False
2053409,18.7,0.4836764882,1.0815335068,14.2836825359,0,.086402,1112.633590821872,False
2215442,18.5,0.5303407233,1.1858779086,18.8508512966,0,.134651,318.974895592967,False
3312033,21.2,0.1529519353,0.3420109247,16.336175244,0,.109607,454.587681732057,False
3672904,20.5,0.2111324448,0.4721064988,7.9895870277,2,.115461,660.0467462532848,False
3735995,27.2,0.0096506147,0.0215794305,8.15649753,5,.00656022,485.8850614953669,False
2469929,21.0,0.1677084622,0.3750075218,16.3361889767,0,.112305,454.5672486615737,False
3031184,18.8,0.4619074603,1.0328564805,38.4037681466,0,.042963,1208.832742092628,True
3605335,21.0,0.1677084622,0.3750075218,10.8765221254,0,.144527,416.6565710033462,False
3661368,21.1,0.160160338,0.358129403,25.7743942622,5,.0417191,1577.204946588377,True
3726020,20.5,0.2111324448,0.4721064988,10.4128273849,5,.0682463,1378.759922895775,False
3748472,26.9,0.0110803882,0.0247765013,9.9946838994,7,.0336951,366.4570190374504,False
2373503,20.0,0.2658,0.5943468684,6.7621494389,0,.0620336,618.7923100210946,False
3685273,26.8,0.0116025908,0.0259441818,20.4561357453,3,.000354709,549.2575800369494,False
3283679,21.2,0.1529519353,0.3420109247,22.4538896731,1,.0565464,256.1127811955777,False
3508112,21.7,0.1214940408,0.2716689341,4.4207393166,0,.0322578,475.9606817316997,True
3773593,25.579,0.0203589313,0.0455239543,7.9288906135,6,.0580781,349.7338808915595,False
3384030,23.8,0.046190746,0.1032856481,6.2897608009,6,.0937947,574.4417176178767,False
3432642,20.7,0.1925550782,0.4305662442,18.8943269533,1,.0787175,269.9744034889082,False
3461173,18.0,0.6676594135,1.4929318344,7.2652460916,0,.162198,1191.077471621934,False
3645649,24.7,0.0305179233,0.0682401509,8.1157311376,3,.0285671,388.8479513605899,False
3684006,23.8,0.046190746,0.1032856481,24.5237445454,6,.00972154,467.8453546903667,False
2481984,18.0,0.6676594135,1.4929318344,7.2652503417,0,.161443,1191.063229994166,False
2429736,20.3,0.2315021222,0.5176544822,14.2353837522,0,.10431,389.7158913963528,False
3607400,18.7,0.4836764882,1.0815335068,10.6572030026,0,.244072,1917.824570835075,False
3690061,25.0,0.02658,0.0594346868,11.4155053785,7,.0607399,328.1852142191202,False
3635077,23.0,0.0667659413,0.1492931834,5.493440713,5,.00595383,476.8660078567918,False
3685269,22.2,0.096506147,0.2157943048,0.8739483443,0,.236234,1099.233022617398,False
3666628,20.2,0.2424124811,0.5420507863,24.7830838826,4,.150177,930.9232548816497,False
3710020,22.6,0.0802703167,0.1794898848,13.7425234948,2,.0658399,387.7445912722043,False
3719227,26.2,0.0152951935,0.0342010925,8.1019731991,4,.0163424,348.5901574934982,False
3729840,21.5,0.1332155667,0.2978790628,3.7966557833,4,.239855,631.1353175588878,False
3767934,24.9,0.0278326768,0.0622357573,10.422149823,6,.0420615,346.1684205352473,False
3062448,20.2,0.2424124811,0.5420507863,14.1177980844,6,.184462,1440.639341364723,False
3704267,25.6,0.0201629919,0.0450858206,10.6575875694,6,.050429,599.7417817191515,False
3752574,27.1,0.0101054342,0.0225964377,8.0744753486,5,.0109807,316.5711131233832,False
2065679,19.4,0.3503926411,0.7835017643,5.9702516366,0,.014081,319.7352390754124,True
3279740,20.8,0.1838886721,0.411187571,28.4314268852,6,.0223565,381.6838104842295,True
3458581,17.5,0.8405334021,1.8794898244,24.5299014074,2,.318245,1609.813927842703,False
3550075,27.6,0.0080270317,0.0179489885,15.2296111406,5,.00262576,1701.719433610778,False
3735678,23.3,0.058150704,0.130028927,16.7190712641,6,.0485347,276.1376932132466,False
3346470,21.8,0.1160259082,0.2594418179,4.3868556408,0,.275615,1220.802490848324,False
3774566,24.771,0.0295362242,0.0660450052,14.0941119936,6,.00110762,481.0955600553713,False
2363505,18.1,0.6376097899,1.4257388333,21.6552973305,0,.0345132,252.2466272629769,True
3393169,20.0,0.2658,0.5943468684,25.580738937,1,.0113181,448.0535447937345,True
3599867,22.8,0.0732073989,0.1636967205,7.1377286599,3,.113978,342.8202931030539,False
3761196,21.2,0.1529519353,0.3420109247,12.0993091698,2,.150454,384.7515151187496,False
3763275,25.9,0.0175612318,0.0392681082,12.9101146802,6,.00794797,384.3517675586699,False
2003362,18.3,0.5815070396,1.30028927,11.2416326086,1,.013395,359.5337847595645,True
2451157,21.0,0.1677084622,0.3750075218,4.7788500989,0,.038564,531.8808786931139,True
3263449,21.2,0.1529519353,0.3420109247,13.2562338952,0,.0282257,241.8237015082135,True
3733300,22.7,0.0766575574,0.1714115092,18.3965306839,7,.0108586,217.6704971201294,False
3551168,28.2,0.0060891262,0.0136157002,3.9000403824,4,.00510293,378.0259352800659,False
3579081,20.1,0.2538370294,0.5675968529,6.2758317729,0,.108953,1365.014521919459,False
3655869,27.5,0.008405334,0.0187948982,9.0215003446,6,.00196446,388.3742668083705,False
3736504,26.2,0.0152951935,0.0342010925,16.6243618985,3,.00516848,351.1249151622776,False
3736387,21.0,0.1677084622,0.3750075218,10.8522553181,2,.0679351,332.279222165562,False
2155338,20.5,0.2111324448,0.4721064988,19.9917799837,0,.0129026,718.1235383931547,True
3102683,22.1,0.1010543415,0.2259643771,11.739294092,1,.0113586,368.882118331136,True
3363352,21.4,0.1394938229,0.3119176705,15.9410804078,1,.114266,517.897731999401,False
3574100,21.0,0.1677084622,0.3750075218,10.2196279707,1,.038891,778.0098132714858,True
3739077,26.6,0.0127219879,0.0284472297,3.0209512068,7,.0376738,433.9699467829618,False
3363696,23.4,0.0555334912,0.1241766613,7.7170789666,1,.0278239,280.6588601146776,False
3603128,22.3,0.0921626549,0.2060819612,18.4396968582,1,.14639,305.447329092136,False
2026379,18.0,0.6676594135,1.4929318344,15.9786985802,1,.130923,743.3233108310145,False
2376848,19.4,0.3503926411,0.7835017643,23.36561961,0,.0820877,315.292486157051,False
3597095,21.2,0.1529519353,0.3420109247,9.2534155721,0,.0192598,453.3224382166687,True
3745113,26.1,0.0160160338,0.0358129403,16.3514809977,6,.029105,300.4876970300288,False
3752441,24.7,0.0305179233,0.0682401509,5.6766019449,2,.0382611,348.1823343669631,False
2066146,14.5,3.3462237445,7.4823837607,11.5679264612,0,.0733391,255.0603417087788,False
2399611,19.3,0.3669061375,0.8204270649,7.8605108762,0,.0862996,511.5807005798142,False
3479127,19.1,0.4023045798,0.8995803882,15.0382869219,1,.0491135,588.4115355763129,True
3722211,20.1,0.2538370294,0.5675968529,18.1929161363,4,.239042,491.9652859260198,False
2494975,19.1,0.4023045798,0.8995803882,15.0382240417,1,.0491136,588.4115556534896,True
2418896,19.4,0.3503926411,0.7835017643,14.2039902095,0,.207609,548.1112569914042,False
2436037,18.6,0.5064714588,1.1325046106,26.4726009386,0,.0801492,933.9779729432621,False
3009717,20.5,0.2111324448,0.4721064988,18.6405028057,1,.104459,318.7642441440861,False
